course_year,course_sem,course_taken,rec_course,took_recom_course,scaled_score,raw_score,course_start_date,teacher_id,student_id,acceptance_date,acceptance_month,proj_grad_year,proj_grad_sem,midtermgrade,finalgrade,midtermgrade,finalgrade
2018,SUMMER,MATH112,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P093001886,3fd5bfa5,21-Jun-18,Jun,2018,SUMMER,A,,pass ,
2018,SUMMER,MATH116,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P089009198,3fe9a0d3,25-Apr-18,Apr,2018,SUMMER,B,,pass ,
2018,SUMMER,MATH116,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P089009198,3fd864fd,19-Mar-18,Mar,2020,SPRING,A,,pass ,
2018,SUMMER,MATH116,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P089009198,3fda500b,7-May-18,May,2018,SUMMER,A,,pass ,
2018,SUMMER,MATH209,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P107180114,3fd88771,2-Jun-18,Jun,2018,SUMMER,B,,pass ,
2018,SUMMER,MATH209,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P107180114,3fee6d57,9-May-18,May,2019,FALL,C,,pass ,
2018,SUMMER,MATH209,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P107180114,3fd63377,29-May-18,May,2019,SPRING,A,,pass ,
2018,SUMMER,MATH209,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P107180114,3feef51f,19-Mar-18,Mar,2020,SPRING,B,,pass ,
2018,SUMMER,MATH209,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P107180114,3fe597f9,22-Jan-18,Jan,2018,FALL,B,,pass ,
2018,SUMMER,MATH209,#N/A,#N/A,#N/A,#N/A,4-Jun-18,P107180114,3babf06b,9-May-18,May,2020,SPRING,C,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe8f9ad,10-Apr-18,Apr,2019,SPRING,A,,pass ,
2018,FALL,MATH112,MATH120,0,1114,25,20-Aug-18,P100062478,3fdc5d83,21-Aug-18,Aug,2019,FALL,B,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3ff07d6d,31-Jul-18,Jul,2019,SPRING,A-,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe12e5d,12-Aug-18,Aug,2020,SPRING,B-,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe907c7,17-Apr-18,Apr,2020,SPRING,A-,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe633b7,5-Apr-18,Apr,2020,SPRING,A,,pass ,
2018,FALL,MATH112,MATH120,0,1512,27,20-Aug-18,P100062478,3fe50ce9,13-Jul-18,Jul,2020,SPRING,B,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe0e42f,31-Jul-18,Jul,2020,SPRING,A+,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fecf73d,24-Aug-18,Aug,2018,FALL,F,,fail,
2018,FALL,MATH112,MATH120,0,1311,24,20-Aug-18,P100062478,3feff87f,20-Aug-18,Aug,2019,SPRING,B-,,pass ,
2018,FALL,MATH112,MATH112,,502,7,20-Aug-18,P100062478,3fee640b,22-Aug-18,Aug,2018,FALL,F,,fail,
2018,FALL,MATH112,MATH112,1,506,11,20-Aug-18,P100062478,3feffa9b,24-Jul-18,Jul,2020,SPRING,C,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe62d95,11-May-18,May,2018,FALL,C,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe6f2f7,12-Apr-18,Apr,2019,SPRING,C,,pass ,
2018,FALL,MATH112,MATH112,1,705,12,20-Aug-18,P100062478,3fe2b921,12-Jul-18,Jul,2020,SPRING,C,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe2ccbd,8-Aug-18,Aug,2020,SPRING,C,,pass ,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe29699,17-Apr-18,Apr,2020,SPRING,D,,fail,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fd7fddd,10-Apr-18,Apr,2018,FALL,B-,,pass ,
2018,FALL,MATH112,MATH115,0,409,13,20-Aug-18,P100062478,3ff08849,17-Aug-18,Aug,2019,SPRING,D,,fail,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fe7ed8d,17-May-18,May,2018,FALL,W,,W,
2018,FALL,MATH112,MATH112,1,304,7,20-Aug-18,P100062478,3fe4c801,18-Jul-18,Jul,2019,SPRING,F,,fail,
2018,FALL,MATH112,#N/A,#N/A,#N/A,#N/A,20-Aug-18,P100062478,3fea216b,10-Apr-18,Apr,2019,SPRING,A,,pass ,
